model,epoch,learning_rate,epoch_seconds,train_pixel_accuracy,train_mean_class_accuracy,train_mIoU_all,train_mIoU_foreground,train_fwIoU,train_macro_precision,train_macro_recall,train_macro_specificity,train_macro_f1,train_macro_dice,train_loss,train_cross_entropy,train_dice_loss,val_pixel_accuracy,val_mean_class_accuracy,val_mIoU_all,val_mIoU_foreground,val_fwIoU,val_macro_precision,val_macro_recall,val_macro_specificity,val_macro_f1,val_macro_dice,val_loss,val_cross_entropy,val_dice_loss
STDCSeg,3,0.0003,92.22005329100011,0.8852193903795538,0.682311942342837,0.5043970828771903,0.47294139364305265,0.821363905615334,0.5435965396466633,0.6643817265117573,0.9902096890070903,0.5835644957973242,0.583564495797764,0.48231247067451477,0.47133293747901917,0.5152521729469299,0.886586669921875,0.7100744377651989,0.510162018452364,0.47922646512373507,0.8275176484398963,0.5503665177228406,0.6947657194580245,0.9903220437806762,0.5899084669534385,0.5899084669538684,0.4627190828323364,0.4371153712272644,0.539530336856842
STDCSeg,4,0.0003,91.87308358500013,0.8934985006131803,0.7129870477580581,0.528068178999534,0.49824247791321047,0.8327410491198881,0.5646023421037211,0.6973294161676078,0.9909373839943809,0.6101190667802987,0.6101190667807386,0.4324835240840912,0.4167459011077881,0.47969624400138855,0.8999880777994792,0.7190836815514885,0.5404593774788399,0.5111825774739732,0.8398239621674002,0.5775076075141299,0.7032803612445481,0.9915757754461789,0.6230471798389883,0.62304717983943,0.42442411184310913,0.3967215418815613,0.5075319409370422
STDCSeg,5,0.0003,91.40393039600076,0.8969155853869868,0.7262245239085077,0.5396006392464681,0.510551875925599,0.8373958376414472,0.5761192270312951,0.7114982952527882,0.99124250924367,0.6229459566409129,0.6229459566413529,0.4094878137111664,0.3926505446434021,0.4599994122982025,0.899037089029948,0.7446160435341665,0.544098949104461,0.5155606174544147,0.8419938990200255,0.571283679881241,0.7319069257243304,0.9913432032794204,0.6258814553182189,0.625881455318653,0.39593014121055603,0.36364343762397766,0.49279049038887024
STDCSeg,6,0.0003,90.59078839699941,0.9020326175791694,0.742166311300099,0.5549605870465165,0.5270102149836072,0.8446515296868121,0.5904840422976977,0.7286395668299782,0.9916863175707612,0.6385973352035834,0.6385973352040236,0.3812149465084076,0.3626912236213684,0.43678605556488037,0.9069021606445312,0.7279642427388535,0.5632832814724489,0.5363450872205043,0.8487083210924169,0.6132175596061841,0.7139726845794049,0.9919205110600541,0.6470373004696705,0.6470373004701154,0.39045751094818115,0.36455097794532776,0.46817734837532043
STDCSeg,7,0.0003,90.68898081399948,0.9050820430544821,0.7524515816689772,0.5653202095154785,0.5380783641739617,0.8487092924332115,0.60080257956395,0.7396480993197277,0.991950514652525,0.6493990985959135,0.6493990985963541,0.3602062165737152,0.3433963358402252,0.41063591837882996,0.9072945149739583,0.7611593060071645,0.5655306815886013,0.5378988593757973,0.8535154920232327,0.5972070302041147,0.7485948758738412,0.9922097840786805,0.6482393602903267,0.648239360290764,0.35636037588119507,0.3344738483428955,0.42201998829841614
STDCSeg,8,0.0003,91.70386904099996,0.9069018440450577,0.7569913654953968,0.570304363809086,0.5433638352193421,0.8513372552456185,0.6055713597379978,0.7444569118879375,0.9921125832432806,0.6542258733474241,0.6542258733478649,0.34620368480682373,0.3327871263027191,0.3864533603191376,0.908853515625,0.760386240723772,0.5730408113944777,0.5461794610188239,0.8552943229585093,0.6098137387238977,0.7480168859354158,0.99228728208828,0.6553144159887772,0.6553144159892156,0.34719330072402954,0.32746171951293945,0.406388521194458
STDCSeg,9,0.0003,92.04965934099982,0.9093099243925642,0.76819298457662,0.5817645054768764,0.5557055026945678,0.854780139548812,0.66869516979046,0.7565536498558444,0.9923166926137396,0.6689677302449791,0.6689677302454293,0.3321518301963806,0.31820324063301086,0.37399810552597046,0.9124087727864584,0.7720899444267549,0.5887874039682408,0.5629604541799954,0.8586785863597811,0.6662862132081581,0.7604334017965974,0.9925717237729001,0.6809613342594756,0.6809613342599429,0.3370380401611328,0.3173447549343109,0.39611777663230896
STDCSeg,10,0.0003,92.02729505499974,0.9111265158695758,0.7920414029794537,0.5999729845397217,0.57532430206343,0.8573759529947594,0.6552348034866236,0.7822913254288607,0.992477694011471,0.6959424005495021,0.695942400549982,0.3206353485584259,0.30665773153305054,0.3625680208206177,0.9123057250976563,0.7753596604426078,0.593788803670632,0.5685914877810923,0.8600806684788654,0.6863460180365965,0.7643112799989352,0.9925514534615293,0.6838434241597103,0.6838434241601687,0.3247681260108948,0.30519115924835205,0.3834991455078125
STDCSeg,11,0.0003,92.85656769599973,0.9128847309187347,0.8059488747232698,0.6111808124523876,0.587381588408977,0.8599294115836406,0.6641841146391996,0.797302275285749,0.992624087180949,0.7092663065571196,0.7092663065576019,0.31182408332824707,0.2960987389087677,0.3590003550052643,0.9152166748046875,0.8006212437267521,0.6075817481002217,0.5834540702271119,0.8630038124997035,0.6548539770510989,0.7916849622882741,0.9927503733349957,0.7040367958058084,0.7040367958062929,0.317466676235199,0.29590919613838196,0.3821391761302948
STDCSeg,12,0.0003,90.27112295699953,0.9137957363842643,0.8029809466613245,0.6109199707556384,0.5870785346812272,0.861211562986748,0.6664663854327034,0.7940757241443913,0.9927026749723692,0.7075213803195614,0.7075213803200416,0.3059467375278473,0.29040205478668213,0.35258054733276367,0.9163493855794271,0.7883724138121372,0.6063332621093982,0.5821924048978548,0.8647566817481416,0.6781539136310805,0.7785414208440161,0.9928342022947544,0.7014085744519375,0.701408574452413,0.3142356276512146,0.294127494096756,0.3745599687099457
STDCSeg,13,0.0003,90.08104799499961,0.9147794998903326,0.8190167592172759,0.6217615171539875,0.5987656170885688,0.8626033209009101,0.6725769223605531,0.811396950148,0.9927883503904115,0.7207071950902425,0.720707195090725,0.2996339797973633,0.283878892660141,0.34689903259277344,0.9162824096679687,0.8127124596962959,0.614003576011216,0.5899726950631016,0.865811494616409,0.6610802647221766,0.8040359271606393,0.9929837190736883,0.7106482438522845,0.7106482438527668,0.30739542841911316,0.286824107170105,0.3691096305847168
STDCSeg,14,0.0003,90.9208149240003,0.9159132265577129,0.8089326720666647,0.615368467620568,0.5917841448638396,0.8642613167306228,0.6628854714280915,0.8004183504147648,0.9928891883670135,0.7103112155667121,0.7103112155671946,0.2939939498901367,0.278373122215271,0.3408564627170563,0.91723876953125,0.7921950684022874,0.6042794698092206,0.5796613358930184,0.8672423353499363,0.6909273012761822,0.78218918098396,0.9930231160284149,0.6949065489168599,0.6949065489173204,0.3045669496059418,0.28424906730651855,0.365520715713501
STDCSeg,15,0.0003,89.9901963860002,0.9164934549314665,0.8156656431954501,0.6195120890487424,0.5962426043695288,0.8651295094635764,0.6643872225247401,0.8076969363202827,0.9929360061250732,0.7149495923427178,0.7149495923432009,0.29048120975494385,0.2738083600997925,0.340499609708786,0.9169000040690104,0.8022518366875626,0.605706266220798,0.5810875756613424,0.8662207925647012,0.643875100969449,0.7929503560815635,0.9929878496303405,0.6965811028887939,0.6965811028892744,0.3061622679233551,0.2857225239276886,0.36748194694519043
STDCSeg,16,0.0003,90.01227937600015,0.917232955415831,0.8330463650494303,0.6316545210852053,0.6093421981572514,0.8662406254497762,0.6764371016247689,0.8264833990793717,0.9929981322704861,0.7301379652021732,0.7301379652026557,0.28512170910835266,0.2697760760784149,0.33115842938423157,0.9177998657226563,0.8159528738667843,0.6214545665773042,0.5980965582834119,0.868426224000023,0.6722238227807137,0.8076701427479378,0.9931098138192916,0.7170635415272205,0.7170635415277017,0.2950102686882019,0.2734835147857666,0.35959047079086304
STDCSeg,17,0.0003,90.46232892999979,0.9184942058488434,0.8295650405525522,0.6306120050203649,0.6081664365997835,0.8680495259487684,0.6742809289373133,0.8226693260257778,0.9931100961910881,0.7273143060631412,0.7273143060636239,0.27966824173927307,0.26324138045310974,0.328948438167572,0.9213294677734375,0.8099713010720747,0.6273476848506987,0.6044517602396972,0.8709434232010026,0.6797902238775756,0.8012418848662439,0.9933315049819105,0.7222754774937382,0.7222754774942226,0.30281901359558105,0.2843727171421051,0.35815826058387756
STDCSeg,18,0.0003,90.15639336200002,0.9191416708118351,0.8370964796155687,0.6359686701684252,0.6139328309715607,0.8689671856084961,0.6787789372786747,0.8307976369227367,0.9931651443473389,0.7334835539841316,0.7334835539846144,0.27618408203125,0.2597397565841675,0.3255171477794647,0.9180682169596354,0.8151622100588647,0.6238107076528216,0.6009356980148945,0.868659261461709,0.6806774307110208,0.8073710637455989,0.9930323587970312,0.7200576767104124,0.7200576767108925,0.2888677716255188,0.2672811448574066,0.35362789034843445
STDCSeg,19,0.0003,93.01720963200023,0.9200702538039808,0.845766711561396,0.6466434948347057,0.625462871667886,0.8703147653706386,0.6918290782042531,0.8401744811806534,0.9932415419131195,0.7450013970230703,0.7450013970235537,0.27105283737182617,0.2542533576488495,0.32145145535469055,0.9212996826171875,0.8059315056432447,0.6277806548213783,0.6047691827367371,0.8722416473503545,0.6984616921975705,0.7966490602153206,0.9933916657814721,0.721966282278851,0.7219662822793284,0.2881486415863037,0.26759928464889526,0.349796861410141
STDCSeg,20,0.0003,98.86854192900046,0.9201369328082352,0.8428603857303728,0.6416586244940524,0.6200158698238886,0.8705348228990565,0.6847295409979638,0.8369697813072184,0.9932531418867115,0.7394145832809268,0.7394145832814095,0.2701117694377899,0.2537318766117096,0.3192512094974518,0.9208685302734375,0.8180336786990594,0.6340596894444688,0.6117102379867212,0.8710724944762017,0.688619365077254,0.8100045639634286,0.9933150856121431,0.7308213865306756,0.7308213865311609,0.2913644015789032,0.27235937118530273,0.3483792841434479
STDCSeg,21,0.0003,97.08811315099956,0.920649169813078,0.8464142601063942,0.644320645414287,0.6229021160120567,0.871204937125734,0.6861257539981175,0.8408296507160667,0.9932943376429882,0.741940813541902,0.7419408135423851,0.26785287261009216,0.2509547472000122,0.3185475468635559,0.9218890991210937,0.8113633981214723,0.6314749065692465,0.6088652250156873,0.8726589291345875,0.6906329110905219,0.8027722120708506,0.9933930696969216,0.7267683299700661,0.7267683299705494,0.2838868796825409,0.2645469009876251,0.3419068455696106
STDCSeg,22,0.0003,97.16455168300035,0.9212723526300168,0.846537674096845,0.6467968267868656,0.6255474385017032,0.8721390791829005,0.6900395187737911,0.8409309068635231,0.993349505898332,0.7442168187517645,0.7442168187522475,0.26409322023391724,0.24735207855701447,0.3143165707588196,0.9207208455403646,0.8201954342835904,0.6298936505294994,0.6070791282797938,0.8716492297459413,0.6868761314863318,0.8122195050293349,0.9933222649149863,0.7266311915247701,0.7266311915252514,0.2829234004020691,0.26256072521209717,0.3440113365650177
STDCSeg,23,0.00015,95.35102878499947,0.9211338879590366,0.8430537962388374,0.6440968231473121,0.6226131230660236,0.8719198832295886,0.6871965343192216,0.8371537758951004,0.9933333238219251,0.7410118892497531,0.7410118892502361,0.26459112763404846,0.2479064166545868,0.3146454095840454,0.9194792683919271,0.8102015944570515,0.620840564004844,0.5973755262884689,0.8698744552142698,0.6821570776680207,0.8015478529366723,0.9931839845433857,0.7165425979053422,0.7165425979058205,0.2912674844264984,0.2707051932811737,0.35295408964157104
